title,artist,id,tags
A night like this,Caro Emerald
Aber bitte mit Sahne,Udo Jürgens
All star,Smash Mouth,all_star
All summer long,Kid Rock
All the small things,Blink 182,,Rock
Angels,Robbie Williams,angels
Dancing queen,Abba
Don't stop believin',Journey
Feel,Robbie Williams
Freiheit,Westernhagen
Himmelblau,Die Ärzte
I knew you were trouble,Taylor Swift
Ironic,Alanis Morissette
It's in his kiss (the shoop shoop song),Cher
Jump,Van Halen
Let me entertain you,Robbie Williams
Man! I feel like a woman,Shania Twain
Narcotic,Liquido
Ohne dich (schlaf' ich heut Nacht nicht ein),Münchener Freiheit
One moment in time,Whitney Houston
Sexy,Westernhagen
Shake it off,Taylor Swift
Sweet Caroline,Neil Diamond
Tage wie diese,Die Toten Hosen
Teenage Dirtbag,Wheatus
Verdammt ich lieb dich,Matthias Reim
Westerland,Die Ärzte
